<http://data.doremus.org/performance/600823eb-b42e-353d-a9a7-6b25f56c9b23>;1045740.ttl;Biennale de quatuors Ã  cordes. Quatuor Borodine. Concert des 70 ans;20/01/2016;
;;;;
<http://data.doremus.org/performance/08737546-a99f-3498-8544-fbefd90948c4>;15331.ttl;La Force du Destin;30/05/2016;SimilaritÃ© :0.6005
<http://data.doremus.org/performance/f321e87e-ff53-3277-bf08-839f33050477>;1051668.ttl;La Force du Destin. Les Dissonances, David Grimal;30/05/2016;
;;;;
<http://data.doremus.org/performance/6e28fc2e-eea0-3a3e-94d4-f375208e413a>;13442.ttl;Orfeo - Les Talens Lyriques - Christophe Rousset;02/06/2014;SimilaritÃ© :0.4415
<http://data.doremus.org/performance/28064cdd-57c7-3ea1-9d1a-718f996d4185>;1019089.ttl;"Festival Villette Sonique 2014. Red Bull Music Academy prÃ©sente Chassol \""Big Sun\""";02/06/2014;
;;;;
<http://data.doremus.org/performance/eed522cd-ca9c-368e-982e-0593b5330d8c>;16836.ttl;La Fabrique de l'Orchestre;15/10/2016;SimilaritÃ© :0.4115
<http://data.doremus.org/performance/954af6af-92c7-3301-805d-8c7313833c10>;1057932.ttl;Cycle Ludwig van. Fantaisie. Insula Orchestra, Accentus;15/10/2016;
;;;;
<http://data.doremus.org/performance/ae4a96aa-d0f2-36d5-a5d5-ff0b7d899d5c>;16600.ttl;Ibn Battuta, Le voyageur du temps partie 2;04/11/2016;SimilaritÃ© :0.5955
<http://data.doremus.org/performance/71093560-3960-3434-bd25-52272e6fee2c>;1058633.ttl;Ibn Battuta de Damas en Chine. HespÃ¨rion XXI, Jordi Savall;04/11/2016;
;;;;
<http://data.doremus.org/performance/eb95b755-2543-30a2-9258-c8e8ead601c6>;16441.ttl;Henri Dutilleux;24/10/2016;SimilaritÃ© :0.6715
<http://data.doremus.org/performance/856e9ee3-d7de-3612-ba0f-6319b691e283>;1057857.ttl;Henri Dutilleux, paysages poÃ©tiques;24/10/2016;
;;;;
<http://data.doremus.org/performance/c2409023-96fd-37d8-ace3-20ae1b15ec27>;14568.ttl;Marc Ribot Y Los Cubanos Postizos / Roberto Fonseca Solo;10/09/2014;SimilaritÃ© :0.565
<http://data.doremus.org/performance/a25b7461-1640-3cdf-94f0-0458d356b8a2>;1021066.ttl;Jazz Ã  la Villette. Roberto Fonseca solo;10/09/2014;
;;;;
<http://data.doremus.org/performance/9d38fa76-d045-3be4-b4cf-3aa82feb71f1>;14466.ttl;LeÃ§on de musique;25/03/2015;SimilaritÃ© :0.5635
<http://data.doremus.org/performance/9f4ac172-c34e-3a2a-a294-e7045b77367b>;1032055.ttl;Une leÃ§on de musique par William Christie, la rhÃ©torique de la passion;25/03/2015;
;;;;
<http://data.doremus.org/performance/8f6e6a74-4d01-3fa7-8622-98fd84758e2c>;15243.ttl;Le voyage dâ€™Ibn Batouta;11/02/2016;SimilaritÃ© :0.6245
<http://data.doremus.org/performance/a104e67e-272f-31df-8758-b87def94a92f>;1046900.ttl;Le voyage d'Ibn Battuta. HespÃ¨rion XXI, Jordi Savall;11/02/2016;
;;;;
<http://data.doremus.org/performance/3ba601f4-29d6-3595-9703-86608e603c54>;15212.ttl;Pierre Henry;09/01/2016;SimilaritÃ© :0.6455
<http://data.doremus.org/performance/d420fa0d-d69c-3d25-9b59-36591405774c>;1045013.ttl;Pierre Henry, maintenant et demain;09/01/2016;
;;;;
<http://data.doremus.org/performance/d772bce1-2165-39f3-b3e4-c68455f13151>;14105.ttl;Music for 18 musicians;14/03/2015;SimilaritÃ© :0.615
<http://data.doremus.org/performance/a4e57097-cfb6-3578-96b0-bba916d2079e>;1032035.ttl;Week-end Let's Dance. Music for 18 musicians;14/03/2015;
;;;;
<http://data.doremus.org/performance/d772bce1-2165-39f3-b3e4-c68455f13151>;14105.ttl;Music for 18 musicians;14/03/2015;SimilaritÃ© :0.615
